;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09176126;      Gaimersheim, M;282091;21117;5962;7759;642;399;1762;1735;17691;939;-;166;177758;38453;634;6767;307;-
09176129;      Großmehring;474241;11828;6287;7465;5355;4332;667;1275;24122;384;-;-;297786;69849;27822;16930;139;-
09176131;      Hepberg;41588;5360;432;777;242;-;611;203;5036;-;-;2656;22159;2343;19;1702;48;-
09176132;      Hitzhofen;337863;6162;153;3052;525;406;118;860;11392;-;-;-;107438;202732;56;4878;91;-
09176137;      Kinding, M;517077;5540;2474;6566;780;5232;714;3079;29474;835;-;1272;177944;259010;7442;16559;156;-
09176138;      Kipfenberg, M;814321;11534;2030;10431;1443;120;873;1916;33956;59;-;-;271181;468422;3713;8440;203;-
09176139;      Kösching, M;556680;16627;5413;9175;4200;-;1320;1468;21035;34;-;1162;232268;254874;623;8281;200;-
09176143;      Lenting;84785;8690;1975;2344;2202;-;822;629;8853;64;-;5895;45970;4473;195;2522;151;-
09176147;      Mindelstetten;226888;4088;47;3973;800;783;250;536;9632;-;-;35;156003;45971;213;4479;78;-
09176148;      Mörnsheim, M;334579;3446;1962;3246;6211;6292;193;290;12678;328;-;8094;131393;152475;1448;6465;58;-
09176149;      Nassenfels, M;184296;4371;503;3305;243;-;240;398;8339;374;-;49;105580;53958;1072;5773;91;-
09176150;      Oberdolling;193664;3040;1302;2512;285;446;58;358;8060;-;-;312;118720;53267;227;5006;71;-
09176153;      Pförring, M;435155;8197;1652;9403;348;494;354;702;20303;-;112;141;297637;66197;13345;16100;170;-
09176155;      Pollenfeld;456481;4954;1552;6975;1214;446;132;527;18634;-;-;-;223882;194410;-;3563;192;-
09176160;      Schernfeld;522402;5883;3175;7239;3092;10646;208;947;19340;4;-;343;225259;239851;24;6317;74;-
09176161;      Stammham;390429;8937;1634;2638;957;-;197;423;18069;2726;33;51;85936;260958;323;7356;191;-
09176164;      Titting, M;711031;4393;2728;11067;1442;14419;124;1038;33445;-;-;92;433324;197241;1577;10031;110;-
09176165;      Walting;397487;5282;1403;4114;655;452;430;614;16019;-;-;793;131525;220935;3756;11399;110;-
09176166;      Wellheim, M;338137;6783;626;4687;313;487;228;416;12733;-;-;66;117733;186628;920;6437;80;-
09176167;      Wettstetten;124739;9090;377;2551;94;172;531;754;7477;542;-;5341;73993;20039;68;3580;130;-
09176444;      Gemeindefreie Gebiete;54202;-;-;31;-;294;-;-;2060;-;-;-;-;51807;-;10;-;-
09177;    Erding (Lkr);8707216;201900;35170;283645;19911;22792;15338;40860;311582;131975;333;-;6104990;1261223;109099;164430;3968;-
09177112;      Berglern;198837;4340;576;5639;691;945;195;263;7850;-;-;-;155154;6577;6000;10554;53;-
09177113;      Bockhorn;471465;6715;636;13111;790;-;238;5830;14400;6191;53;-;353099;63509;2952;3836;105;-
09177114;      Buch a.Buchrain;227473;2849;173;5516;215;-;21;205;5395;-;-;-;105016;106904;536;608;35;-
09177115;      Dorfen, St;995571;20745;4236;36489;1057;1141;1198;964;31400;3099;-;-;763803;109451;7084;14482;422;-
09177116;      Eitting;356307;4865;293;9546;3596;2067;304;982;17671;-;-;-;234526;46457;11804;24120;76;-
09177117;      Erding, GKSt;546078;36810;7527;26036;961;3712;5970;3722;27675;36791;16;-;346841;21581;15014;12548;874;-
09177118;      Finsing;231729;7963;2877;10941;2013;411;599;1617;7747;-;-;-;159578;19368;13970;4380;265;-
